ip Source,ip Destination,Protocol,Epoch
207.246.75.243,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.013497000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.017213000"
207.246.75.243,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.023386000"
10.12.15.101,207.246.75.243,TCP,"Dec 15, 2023 13:05:22.023683000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.027641000"
10.12.15.101,45.77.85.150,TCP,"Dec 15, 2023 13:05:22.028037000"
207.246.75.243,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.033692000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.039836000"
207.246.75.243,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.044237000"
10.12.15.101,207.246.75.243,TCP,"Dec 15, 2023 13:05:22.044514000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.047893000"
10.12.15.101,45.77.85.150,TCP,"Dec 15, 2023 13:05:22.048213000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.058029000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.068159000"
10.12.15.101,45.77.85.150,TCP,"Dec 15, 2023 13:05:22.068699000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.078459000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.089755000"
10.12.15.101,45.77.85.150,TCP,"Dec 15, 2023 13:05:22.090268000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.098566000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.108689000"
10.12.15.101,45.77.85.150,TCP,"Dec 15, 2023 13:05:22.109214000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.118583000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.128748000"
10.12.15.101,45.77.85.150,TCP,"Dec 15, 2023 13:05:22.129238000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.139378000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.149150000"
10.12.15.101,45.77.85.150,TCP,"Dec 15, 2023 13:05:22.149701000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.159207000"
66.42.96.18,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.169114000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.169126000"
10.12.15.101,45.77.85.150,TCP,"Dec 15, 2023 13:05:22.169699000"
66.42.96.18,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.174998000"
10.12.15.101,66.42.96.18,TCP,"Dec 15, 2023 13:05:22.175474000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.179499000"
66.42.96.18,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.186476000"
66.42.96.18,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.198658000"
10.12.15.101,66.42.96.18,TCP,"Dec 15, 2023 13:05:22.199020000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.204196000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.204203000"
10.12.15.101,45.77.85.150,TCP,"Dec 15, 2023 13:05:22.204540000"
207.246.75.243,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.209466000"
66.42.96.18,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.210067000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.210899000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.210904000"
10.12.15.101,45.77.85.150,TCP,"Dec 15, 2023 13:05:22.211203000"
207.246.75.243,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.214756000"
10.12.15.101,207.246.75.243,TCP,"Dec 15, 2023 13:05:22.215177000"
66.42.96.18,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.222631000"
10.12.15.101,66.42.96.18,TCP,"Dec 15, 2023 13:05:22.223119000"
207.246.75.243,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.225371000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.234506000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.234513000"
66.42.96.18,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.234554000"
10.12.15.101,45.77.85.150,TCP,"Dec 15, 2023 13:05:22.234915000"
207.246.75.243,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.235462000"
10.12.15.101,207.246.75.243,TCP,"Dec 15, 2023 13:05:22.235712000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.241268000"
207.246.75.243,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.245549000"
66.42.96.18,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.246669000"
10.12.15.101,66.42.96.18,TCP,"Dec 15, 2023 13:05:22.247017000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.248489000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.248500000"
10.12.15.101,45.77.85.150,TCP,"Dec 15, 2023 13:05:22.248845000"
207.246.75.243,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.256288000"
10.12.15.101,207.246.75.243,TCP,"Dec 15, 2023 13:05:22.256819000"
66.42.96.18,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.258485000"
207.246.75.243,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.266274000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.268089000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.268099000"
10.12.15.101,45.77.85.150,TCP,"Dec 15, 2023 13:05:22.268662000"
66.42.96.18,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.270193000"
10.12.15.101,66.42.96.18,TCP,"Dec 15, 2023 13:05:22.270564000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.277022000"
45.77.85.150,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.277033000"
207.246.75.243,10.12.15.101,TCP,"Dec 15, 2023 13:05:22.277036000"
10.12.15.101,45.77.85.150,TCP,"Dec 15, 2023 13:05:22.277688000"
